year,level_1,level_2,level_3,value
2015,Total,60 - 64,"Kallang- Total",7060
2015,Total,60 - 64,"Mandai- Total",90
2015,Total,60 - 64,"Marine Parade- Total",2890
2015,Total,60 - 64,"Museum- Total",20
2015,Total,60 - 64,"Newton- Total",430
2015,Total,60 - 64,"Novena- Total",2860
2015,Total,60 - 64,"Orchard- Total",70
2015,Total,60 - 64,"Outram- Total",1590
2015,Total,60 - 64,"Pasir Ris- Total",7040
2015,Total,60 - 64,"Punggol- Total",3960
2015,Total,60 - 64,"Queenstown- Total",6150
2015,Total,60 - 64,"River Valley- Total",500
2015,Total,60 - 64,"Rochor- Total",1050
2015,Total,60 - 64,"Seletar- Total",10
2015,Total,60 - 64,"Sembawang- Total",3440
2015,Total,60 - 64,"Sengkang- Total",9270
2015,Total,60 - 64,"Serangoon- Total",9160
2015,Total,60 - 64,"Singapore River- Total",100
2015,Total,60 - 64,"Southern Islands- Total",70
2015,Total,60 - 64,"Sungei Kadut- Total",50
2015,Total,60 - 64,"Tampines- Total",17360
2015,Total,60 - 64,"Tanglin- Total",1140
2015,Total,60 - 64,"Toa Payoh- Total",8290
2015,Total,60 - 64,"Western Water Catchment- Total",40
2015,Total,60 - 64,"Woodlands- Total",11640
2015,Total,60 - 64,"Yishun- Total",12310
2015,Total,65 - 69,"Total",182430
2015,Total,65 - 69,"Ang Mo Kio- Total",11050
2015,Total,65 - 69,"Bedok- Total",16750
2015,Total,65 - 69,"Bishan- Total",4860
2015,Total,65 - 69,"Bukit Batok- Total",5990
2015,Total,65 - 69,"Bukit Merah- Total",10030
2015,Total,65 - 69,"Bukit Panjang- Total",5190
2015,Total,65 - 69,"Bukit Timah- Total",3930
2015,Total,65 - 69,"Changi- Total",90
2015,Total,65 - 69,"Choa Chu Kang- Total",5650
2015,Total,65 - 69,"Clementi- Total",6200
2015,Total,65 - 69,"Downtown Core- Total",250
2015,Total,65 - 69,"Geylang- Total",6460
2015,Total,65 - 69,"Hougang- Total",10830
2015,Total,65 - 69,"Jurong East- Total",4760
2015,Total,65 - 69,"Jurong West- Total",10820
2015,Total,65 - 69,"Kallang- Total",6100
2015,Total,65 - 69,"Mandai- Total",80
2015,Total,65 - 69,"Marine Parade- Total",2760
2015,Total,65 - 69,"Museum- Total",10
2015,Total,65 - 69,"Newton- Total",360
2015,Total,65 - 69,"Novena- Total",2460
2015,Total,65 - 69,"Orchard- Total",70
2015,Total,65 - 69,"Outram- Total",1470
2015,Total,65 - 69,"Pasir Ris- Total",4470
2015,Total,65 - 69,"Punggol- Total",3020
2015,Total,65 - 69,"Queenstown- Total",5900
2015,Total,65 - 69,"River Valley- Total",470
2015,Total,65 - 69,"Rochor- Total",900
2015,Total,65 - 69,"Seletar- Total",10
2015,Total,65 - 69,"Sembawang- Total",2210
2015,Total,65 - 69,"Sengkang- Total",6430
2015,Total,65 - 69,"Serangoon- Total",6850
2015,Total,65 - 69,"Singapore River- Total",90
2015,Total,65 - 69,"Southern Islands- Total",40
2015,Total,65 - 69,"Sungei Kadut- Total",60
2015,Total,65 - 69,"Tampines- Total",11470
2015,Total,65 - 69,"Tanglin- Total",940
2015,Total,65 - 69,"Toa Payoh- Total",7410
2015,Total,65 - 69,"Western Water Catchment- Total",10
2015,Total,65 - 69,"Woodlands- Total",7630
2015,Total,65 - 69,"Yishun- Total",8340
2015,Total,70 - 74,"Total",102630
2015,Total,70 - 74,"Ang Mo Kio- Total",6670
2015,Total,70 - 74,"Bedok- Total",9310
2015,Total,70 - 74,"Bishan- Total",2730
2015,Total,70 - 74,"Bukit Batok- Total",3060
2015,Total,70 - 74,"Bukit Merah- Total",6480
2015,Total,70 - 74,"Bukit Panjang- Total",2740
2015,Total,70 - 74,"Bukit Timah- Total",2380
2015,Total,70 - 74,"Changi- Total",50
2015,Total,70 - 74,"Choa Chu Kang- Total",2990
2015,Total,70 - 74,"Clementi- Total",3350
2015,Total,70 - 74,"Downtown Core- Total",140
2015,Total,70 - 74,"Geylang- Total",3890
2015,Total,70 - 74,"Hougang- Total",5970
2015,Total,70 - 74,"Jurong East- Total",2360
2015,Total,70 - 74,"Jurong West- Total",5250
2015,Total,70 - 74,"Kallang- Total",3910
2015,Total,70 - 74,"Mandai- Total",50
2015,Total,70 - 74,"Marine Parade- Total",1780
2015,Total,70 - 74,"Museum- Total",10
2015,Total,70 - 74,"Newton- Total",180
2015,Total,70 - 74,"Novena- Total",1590
2015,Total,70 - 74,"Orchard- Total",30
2015,Total,70 - 74,"Outram- Total",930
2015,Total,70 - 74,"Pasir Ris- Total",2340
2015,Total,70 - 74,"Punggol- Total",1560
2015,Total,70 - 74,"Queenstown- Total",3950
2015,Total,70 - 74,"River Valley- Total",260
2015,Total,70 - 74,"Rochor- Total",620
2015,Total,70 - 74,"Sembawang- Total",1280
2015,Total,70 - 74,"Sengkang- Total",3350
2015,Total,70 - 74,"Serangoon- Total",3680
2015,Total,70 - 74,"Singapore River- Total",50
2015,Total,70 - 74,"Southern Islands- Total",20
2015,Total,70 - 74,"Sungei Kadut- Total",40
2015,Total,70 - 74,"Tampines- Total",5500
2015,Total,70 - 74,"Tanglin- Total",540
2015,Total,70 - 74,"Toa Payoh- Total",5040
2015,Total,70 - 74,"Western Water Catchment- Total",10
2015,Total,70 - 74,"Woodlands- Total",4060
2015,Total,70 - 74,"Yishun- Total",4430
2015,Total,75 - 79,"Total",81210
2015,Total,75 - 79,"Ang Mo Kio- Total",5140
2015,Total,75 - 79,"Bedok- Total",7330
2015,Total,75 - 79,"Bishan- Total",2140
2015,Total,75 - 79,"Bukit Batok- Total",2230
2015,Total,75 - 79,"Bukit Merah- Total",5590
2015,Total,75 - 79,"Bukit Panjang- Total",2000
2015,Total,75 - 79,"Bukit Timah- Total",1880
2015,Total,75 - 79,"Changi- Total",30
2015,Total,75 - 79,"Choa Chu Kang- Total",2220
2015,Total,75 - 79,"Clementi- Total",2600
2015,Total,75 - 79,"Downtown Core- Total",140
2015,Total,75 - 79,"Geylang- Total",3290
2015,Total,75 - 79,"Hougang- Total",4670
2015,Total,75 - 79,"Jurong East- Total",1690
2015,Total,75 - 79,"Jurong West- Total",3550
2015,Total,75 - 79,"Kallang- Total",3400
2015,Total,75 - 79,"Mandai- Total",40
2015,Total,75 - 79,"Marine Parade- Total",1650
2015,Total,75 - 79,"Newton- Total",160
2015,Total,75 - 79,"Novena- Total",1380
2015,Total,75 - 79,"Orchard- Total",20
2015,Total,75 - 79,"Outram- Total",850
2015,Total,75 - 79,"Pasir Ris- Total",1900
2015,Total,75 - 79,"Punggol- Total",1040
2015,Total,75 - 79,"Queenstown- Total",3700
2015,Total,75 - 79,"River Valley- Total",180
2015,Total,75 - 79,"Rochor- Total",510
2015,Total,75 - 79,"Seletar- Total",10
2015,Total,75 - 79,"Sembawang- Total",930
2015,Total,75 - 79,"Sengkang- Total",2410
2015,Total,75 - 79,"Serangoon- Total",2980
2015,Total,75 - 79,"Singapore River- Total",40
2015,Total,75 - 79,"Southern Islands- Total",10
2015,Total,75 - 79,"Sungei Kadut- Total",40
2015,Total,75 - 79,"Tampines- Total",4300
2015,Total,75 - 79,"Tanglin- Total",380
2015,Total,75 - 79,"Toa Payoh- Total",4500
2015,Total,75 - 79,"Western Water Catchment- Total",10
2015,Total,75 - 79,"Woodlands- Total",3090
2015,Total,75 - 79,"Yishun- Total",3190
2015,Total,80 - 84,"Total",51790
2015,Total,80 - 84,"Ang Mo Kio- Total",3250
2015,Total,80 - 84,"Bedok- Total",4760
2015,Total,80 - 84,"Bishan- Total",1370
2015,Total,80 - 84,"Bukit Batok- Total",1450
2015,Total,80 - 84,"Bukit Merah- Total",3540
2015,Total,80 - 84,"Bukit Panjang- Total",1290
2015,Total,80 - 84,"Bukit Timah- Total",1210
2015,Total,80 - 84,"Changi- Total",30
2015,Total,80 - 84,"Choa Chu Kang- Total",1430
2015,Total,80 - 84,"Clementi- Total",1480
2015,Total,80 - 84,"Downtown Core- Total",70
2015,Total,80 - 84,"Geylang- Total",2240
2015,Total,80 - 84,"Hougang- Total",3050
2015,Total,80 - 84,"Jurong East- Total",1040
2015,Total,80 - 84,"Jurong West- Total",2080
2015,Total,80 - 84,"Kallang- Total",2130
2015,Total,80 - 84,"Mandai- Total",20
2015,Total,80 - 84,"Marine Parade- Total",1030
2015,Total,80 - 84,"Museum- Total",10
2015,Total,80 - 84,"Newton- Total",120
2015,Total,80 - 84,"Novena- Total",980
2015,Total,80 - 84,"Orchard- Total",10
2015,Total,80 - 84,"Outram- Total",550
2015,Total,80 - 84,"Pasir Ris- Total",1350
2015,Total,80 - 84,"Punggol- Total",660
2015,Total,80 - 84,"Queenstown- Total",2420
2015,Total,80 - 84,"River Valley- Total",100
2015,Total,80 - 84,"Rochor- Total",340
2015,Total,80 - 84,"Sembawang- Total",620
2015,Total,80 - 84,"Sengkang- Total",1450
2015,Total,80 - 84,"Serangoon- Total",1930
2015,Total,80 - 84,"Singapore River- Total",10
2015,Total,80 - 84,"Southern Islands- Total",10
2015,Total,80 - 84,"Sungei Kadut- Total",30
2015,Total,80 - 84,"Tampines- Total",2830
2015,Total,80 - 84,"Tanglin- Total",250
2015,Total,80 - 84,"Toa Payoh- Total",2810
2015,Total,80 - 84,"Western Water Catchment- Total",10
2015,Total,80 - 84,"Woodlands- Total",1890
2015,Total,80 - 84,"Yishun- Total",1940
2015,Total,85 & Over,"Total",41660
2015,Total,85 & Over,"Ang Mo Kio- Total",2300
2015,Total,85 & Over,"Bedok- Total",4010
2015,Total,85 & Over,"Bishan- Total",1090
2015,Total,85 & Over,"Bukit Batok- Total",1090
2015,Total,85 & Over,"Bukit Merah- Total",3010
2015,Total,85 & Over,"Bukit Panjang- Total",1010
2015,Total,85 & Over,"Bukit Timah- Total",1000
2015,Total,85 & Over,"Changi- Total",40
2015,Total,85 & Over,"Choa Chu Kang- Total",1040
2015,Total,85 & Over,"Clementi- Total",1200
2015,Total,85 & Over,"Downtown Core- Total",130
2015,Total,85 & Over,"Geylang- Total",1850
2015,Total,85 & Over,"Hougang- Total",2340
2015,Total,85 & Over,"Jurong East- Total",760
2015,Total,85 & Over,"Jurong West- Total",1410
2015,Total,85 & Over,"Kallang- Total",1810
2015,Total,85 & Over,"Mandai- Total",10
2015,Total,85 & Over,"Marine Parade- Total",940
2015,Total,85 & Over,"Museum- Total",10
2015,Total,85 & Over,"Newton- Total",110
2015,Total,85 & Over,"Novena- Total",930
2015,Total,85 & Over,"Orchard- Total",20
2015,Total,85 & Over,"Outram- Total",610
2015,Total,85 & Over,"Pasir Ris- Total",1140
2015,Total,85 & Over,"Punggol- Total",510
2015,Total,85 & Over,"Queenstown- Total",1780
2015,Total,85 & Over,"River Valley- Total",130
2015,Total,85 & Over,"Rochor- Total",400
2015,Total,85 & Over,"Sembawang- Total",490
2015,Total,85 & Over,"Sengkang- Total",1160
2015,Total,85 & Over,"Serangoon- Total",1660
2015,Total,85 & Over,"Singapore River- Total",30
2015,Total,85 & Over,"Sungei Kadut- Total",50
2015,Total,85 & Over,"Tampines- Total",2240
2015,Total,85 & Over,"Tanglin- Total",270
2015,Total,85 & Over,"Toa Payoh- Total",2350
2015,Total,85 & Over,"Western Water Catchment- Total",30
2015,Total,85 & Over,"Woodlands- Total",1250
2015,Total,85 & Over,"Yishun- Total",1480
2015,Males,Total,"Total",1916630
2015,Males,Total,"Ang Mo Kio- Total",84220
2015,Males,Total,"Bedok- Total",141220
2015,Males,Total,"Bishan- Total",44110
2015,Males,Total,"Bukit Batok- Total",68650
2015,Males,Total,"Bukit Merah- Total",75450
2015,Males,Total,"Bukit Panjang- Total",69160
2015,Males,Total,"Bukit Timah- Total",34660
2015,Males,Total,"Changi- Total",1300
2015,Males,Total,"Choa Chu Kang- Total",86990
2015,Males,Total,"Clementi- Total",43870
2015,Males,Total,"Downtown Core- Total",1860
2015,Males,Total,"Geylang- Total",58090
2015,Males,Total,"Hougang- Total",109560
2015,Males,Total,"Jurong East- Total",42270
2015,Males,Total,"Jurong West- Total",137560
2015,Males,Total,"Kallang- Total",50410
2015,Males,Total,"Mandai- Total",1000
2015,Males,Total,"Marine Parade- Total",22970
2015,Males,Total,"Museum- Total",190
2015,Males,Total,"Newton- Total",3240
2015,Males,Total,"Novena- Total",23160
2015,Males,Total,"Orchard- Total",430
2015,Males,Total,"Outram- Total",11100
2015,Males,Total,"Pasir Ris- Total",69150
2015,Males,Total,"Punggol- Total",54100
2015,Males,Total,"Queenstown- Total",46230
2015,Males,Total,"River Valley- Total",4260
2015,Males,Total,"Rochor- Total",7410
2015,Males,Total,"Seletar- Total",140
2015,Males,Total,"Sembawang- Total",37910
2015,Males,Total,"Sengkang- Total",101790
2015,Males,Total,"Serangoon- Total",58380
2015,Males,Total,"Singapore River- Total",1310
2015,Males,Total,"Southern Islands- Total",720
2015,Males,Total,"Sungei Kadut- Total",430
2015,Males,Total,"Tampines- Total",128200
2015,Males,Total,"Tanglin- Total",8770
2015,Males,Total,"Toa Payoh- Total",59840
2015,Males,Total,"Western Water Catchment- Total",400
2015,Males,Total,"Woodlands- Total",125900
2015,Males,Total,"Yishun- Total",99990
2015,Males,0 - 4,"Total",93850
2015,Males,0 - 4,"Ang Mo Kio- Total",3480
2015,Males,0 - 4,"Bedok- Total",5930
2015,Males,0 - 4,"Bishan- Total",1800
2015,Males,0 - 4,"Bukit Batok- Total",2820
2015,Males,0 - 4,"Bukit Merah- Total",3680
2015,Males,0 - 4,"Bukit Panjang- Total",3780
2015,Males,0 - 4,"Bukit Timah- Total",1520
2015,Males,0 - 4,"Changi- Total",100
2015,Males,0 - 4,"Choa Chu Kang- Total",3630
2015,Males,0 - 4,"Clementi- Total",1970
2015,Males,0 - 4,"Downtown Core- Total",50
2015,Males,0 - 4,"Geylang- Total",2300
2015,Males,0 - 4,"Hougang- Total",4280
2015,Males,0 - 4,"Jurong East- Total",1670
2015,Males,0 - 4,"Jurong West- Total",6860
2015,Males,0 - 4,"Kallang- Total",2220
2015,Males,0 - 4,"Mandai- Total",50
2015,Males,0 - 4,"Marine Parade- Total",1130
2015,Males,0 - 4,"Museum- Total",10
2015,Males,0 - 4,"Newton- Total",150
2015,Males,0 - 4,"Novena- Total",1150
2015,Males,0 - 4,"Orchard- Total",10
2015,Males,0 - 4,"Outram- Total",600
2015,Males,0 - 4,"Pasir Ris- Total",2960
2015,Males,0 - 4,"Punggol- Total",6140
2015,Males,0 - 4,"Queenstown- Total",2310
2015,Males,0 - 4,"River Valley- Total",190
2015,Males,0 - 4,"Rochor- Total",270
2015,Males,0 - 4,"Seletar- Total",10
2015,Males,0 - 4,"Sembawang- Total",2270
2015,Males,0 - 4,"Sengkang- Total",7880
2015,Males,0 - 4,"Serangoon- Total",2090
2015,Males,0 - 4,"Singapore River- Total",80
2015,Males,0 - 4,"Southern Islands- Total",50
2015,Males,0 - 4,"Sungei Kadut- Total",20
2015,Males,0 - 4,"Tampines- Total",5850
2015,Males,0 - 4,"Tanglin- Total",450
2015,Males,0 - 4,"Toa Payoh- Total",2610
2015,Males,0 - 4,"Western Water Catchment- Total",30
2015,Males,0 - 4,"Woodlands- Total",6200
2015,Males,0 - 4,"Yishun- Total",5250
2015,Males,5 - 9,"Total",103860
2015,Males,5 - 9,"Ang Mo Kio- Total",3880
2015,Males,5 - 9,"Bedok- Total",6750
2015,Males,5 - 9,"Bishan- Total",2290
2015,Males,5 - 9,"Bukit Batok- Total",3450
2015,Males,5 - 9,"Bukit Merah- Total",3760
2015,Males,5 - 9,"Bukit Panjang- Total",3850
2015,Males,5 - 9,"Bukit Timah- Total",2020
2015,Males,5 - 9,"Changi- Total",120
2015,Males,5 - 9,"Choa Chu Kang- Total",4840
2015,Males,5 - 9,"Clementi- Total",2260
2015,Males,5 - 9,"Downtown Core- Total",60
2015,Males,5 - 9,"Geylang- Total",2810
2015,Males,5 - 9,"Hougang- Total",4990
2015,Males,5 - 9,"Jurong East- Total",1970
2015,Males,5 - 9,"Jurong West- Total",8120
2015,Males,5 - 9,"Kallang- Total",2250
2015,Males,5 - 9,"Mandai- Total",50
2015,Males,5 - 9,"Marine Parade- Total",1330
2015,Males,5 - 9,"Museum- Total",10
2015,Males,5 - 9,"Newton- Total",260
2015,Males,5 - 9,"Novena- Total",1530
2015,Males,5 - 9,"Orchard- Total",30
2015,Males,5 - 9,"Outram- Total",530
2015,Males,5 - 9,"Pasir Ris- Total",3660
2015,Males,5 - 9,"Punggol- Total",4740
2015,Males,5 - 9,"Queenstown- Total",2280
2015,Males,5 - 9,"River Valley- Total",230
2015,Males,5 - 9,"Rochor- Total",280
2015,Males,5 - 9,"Seletar- Total",10
2015,Males,5 - 9,"Sembawang- Total",2760
2015,Males,5 - 9,"Sengkang- Total",7700
2015,Males,5 - 9,"Serangoon- Total",2600
2015,Males,5 - 9,"Singapore River- Total",80
2015,Males,5 - 9,"Southern Islands- Total",30
2015,Males,5 - 9,"Sungei Kadut- Total",20
2015,Males,5 - 9,"Tampines- Total",6320
2015,Males,5 - 9,"Tanglin- Total",580
2015,Males,5 - 9,"Toa Payoh- Total",2940
2015,Males,5 - 9,"Western Water Catchment- Total",20
2015,Males,5 - 9,"Woodlands- Total",7400
2015,Males,5 - 9,"Yishun- Total",5060
2015,Males,10 - 14,"Total",109400
2015,Males,10 - 14,"Ang Mo Kio- Total",4200
2015,Males,10 - 14,"Bedok- Total",7460
2015,Males,10 - 14,"Bishan- Total",2490
2015,Males,10 - 14,"Bukit Batok- Total",4010
2015,Males,10 - 14,"Bukit Merah- Total",3420
2015,Males,10 - 14,"Bukit Panjang- Total",4340
2015,Males,10 - 14,"Bukit Timah- Total",2250
2015,Males,10 - 14,"Changi- Total",110
2015,Males,10 - 14,"Choa Chu Kang- Total",5700
2015,Males,10 - 14,"Clementi- Total",2260
2015,Males,10 - 14,"Downtown Core- Total",40
2015,Males,10 - 14,"Geylang- Total",2720
2015,Males,10 - 14,"Hougang- Total",5980
2015,Males,10 - 14,"Jurong East- Total",2350
2015,Males,10 - 14,"Jurong West- Total",8620
2015,Males,10 - 14,"Kallang- Total",2320
2015,Males,10 - 14,"Mandai- Total",70
2015,Males,10 - 14,"Marine Parade- Total",1340
2015,Males,10 - 14,"Newton- Total",170
2015,Males,10 - 14,"Novena- Total",1320
2015,Males,10 - 14,"Orchard- Total",20
2015,Males,10 - 14,"Outram- Total",350
2015,Males,10 - 14,"Pasir Ris- Total",4640
2015,Males,10 - 14,"Punggol- Total",3170
2015,Males,10 - 14,"Queenstown- Total",2200
2015,Males,10 - 14,"River Valley- Total",240
2015,Males,10 - 14,"Rochor- Total",270
2015,Males,10 - 14,"Seletar- Total",10
2015,Males,10 - 14,"Sembawang- Total",2780
2015,Males,10 - 14,"Sengkang- Total",6500
2015,Males,10 - 14,"Serangoon- Total",3210
2015,Males,10 - 14,"Singapore River- Total",50
2015,Males,10 - 14,"Southern Islands- Total",40
2015,Males,10 - 14,"Sungei Kadut- Total",20
2015,Males,10 - 14,"Tampines- Total",7020
2015,Males,10 - 14,"Tanglin- Total",510
2015,Males,10 - 14,"Toa Payoh- Total",2960
2015,Males,10 - 14,"Western Water Catchment- Total",30
2015,Males,10 - 14,"Woodlands- Total",8780
2015,Males,10 - 14,"Yishun- Total",5410
2015,Males,15 - 19,"Total",124290
2015,Males,15 - 19,"Ang Mo Kio- Total",4730
2015,Males,15 - 19,"Bedok- Total",8780
2015,Males,15 - 19,"Bishan- Total",2920
2015,Males,15 - 19,"Bukit Batok- Total",4690
2015,Males,15 - 19,"Bukit Merah- Total",3430
2015,Males,15 - 19,"Bukit Panjang- Total",4800
2015,Males,15 - 19,"Bukit Timah- Total",2270
2015,Males,15 - 19,"Changi- Total",80
2015,Males,15 - 19,"Choa Chu Kang- Total",7670
2015,Males,15 - 19,"Clementi- Total",2370
2015,Males,15 - 19,"Downtown Core- Total",60
2015,Males,15 - 19,"Geylang- Total",3220
2015,Males,15 - 19,"Hougang- Total",7400
2015,Males,15 - 19,"Jurong East- Total",2560
2015,Males,15 - 19,"Jurong West- Total",9190
2015,Males,15 - 19,"Kallang- Total",2420
2015,Males,15 - 19,"Mandai- Total",80
2015,Males,15 - 19,"Marine Parade- Total",1260
2015,Males,15 - 19,"Museum- Total",10
2015,Males,15 - 19,"Newton- Total",150
2015,Males,15 - 19,"Novena- Total",1270
2015,Males,15 - 19,"Orchard- Total",10
2015,Males,15 - 19,"Outram- Total",400
2015,Males,15 - 19,"Pasir Ris- Total",6320
2015,Males,15 - 19,"Punggol- Total",2330
2015,Males,15 - 19,"Queenstown- Total",2380
2015,Males,15 - 19,"River Valley- Total",180
2015,Males,15 - 19,"Rochor- Total",320
2015,Males,15 - 19,"Seletar- Total",10
2015,Males,15 - 19,"Sembawang- Total",2500
2015,Males,15 - 19,"Sengkang- Total",6100
2015,Males,15 - 19,"Serangoon- Total",4080
2015,Males,15 - 19,"Singapore River- Total",40
2015,Males,15 - 19,"Southern Islands- Total",20
2015,Males,15 - 19,"Sungei Kadut- Total",20
2015,Males,15 - 19,"Tampines- Total",9400
2015,Males,15 - 19,"Tanglin- Total",430
2015,Males,15 - 19,"Toa Payoh- Total",3280
2015,Males,15 - 19,"Western Water Catchment- Total",20
2015,Males,15 - 19,"Woodlands- Total",10830
2015,Males,15 - 19,"Yishun- Total",6270
2015,Males,20 - 24,"Total",133490
2015,Males,20 - 24,"Ang Mo Kio- Total",5130
2015,Males,20 - 24,"Bedok- Total",9830
2015,Males,20 - 24,"Bishan- Total",3590
2015,Males,20 - 24,"Bukit Batok- Total",5050
2015,Males,20 - 24,"Bukit Merah- Total",3830
2015,Males,20 - 24,"Bukit Panjang- Total",5350
2015,Males,20 - 24,"Bukit Timah- Total",2320
2015,Males,20 - 24,"Changi- Total",70
2015,Males,20 - 24,"Choa Chu Kang- Total",7810
2015,Males,20 - 24,"Clementi- Total",2420
2015,Males,20 - 24,"Downtown Core- Total",60
2015,Males,20 - 24,"Geylang- Total",3830
2015,Males,20 - 24,"Hougang- Total",8590
2015,Males,20 - 24,"Jurong East- Total",2990
2015,Males,20 - 24,"Jurong West- Total",9750
2015,Males,20 - 24,"Kallang- Total",2550
2015,Males,20 - 24,"Mandai- Total",60
2015,Males,20 - 24,"Marine Parade- Total",1300
2015,Males,20 - 24,"Newton- Total",120
2015,Males,20 - 24,"Novena- Total",1240
2015,Males,20 - 24,"Orchard- Total",10
2015,Males,20 - 24,"Outram- Total",400
2015,Males,20 - 24,"Pasir Ris- Total",6900
2015,Males,20 - 24,"Punggol- Total",1940
2015,Males,20 - 24,"Queenstown- Total",2550
2015,Males,20 - 24,"River Valley- Total",190
2015,Males,20 - 24,"Rochor- Total",310
2015,Males,20 - 24,"Sembawang- Total",2300
2015,Males,20 - 24,"Sengkang- Total",5450
2015,Males,20 - 24,"Serangoon- Total",4660
2015,Males,20 - 24,"Singapore River- Total",40
2015,Males,20 - 24,"Southern Islands- Total",40
2015,Males,20 - 24,"Sungei Kadut- Total",20
2015,Males,20 - 24,"Tampines- Total",10970
2015,Males,20 - 24,"Tanglin- Total",440
2015,Males,20 - 24,"Toa Payoh- Total",3690
2015,Males,20 - 24,"Western Water Catchment- Total",20
2015,Males,20 - 24,"Woodlands- Total",10320
2015,Males,20 - 24,"Yishun- Total",7380
2015,Males,25 - 29,"Total",132500
2015,Males,25 - 29,"Ang Mo Kio- Total",5380
2015,Males,25 - 29,"Bedok- Total",9880
2015,Males,25 - 29,"Bishan- Total",3210
2015,Males,25 - 29,"Bukit Batok- Total",5220
2015,Males,25 - 29,"Bukit Merah- Total",4530
2015,Males,25 - 29,"Bukit Panjang- Total",5370
2015,Males,25 - 29,"Bukit Timah- Total",1970
2015,Males,25 - 29,"Changi- Total",50
2015,Males,25 - 29,"Choa Chu Kang- Total",6080
2015,Males,25 - 29,"Clementi- Total",2790
2015,Males,25 - 29,"Downtown Core- Total",100
2015,Males,25 - 29,"Geylang- Total",4090
2015,Males,25 - 29,"Hougang- Total",8360
2015,Males,25 - 29,"Jurong East- Total",3300
2015,Males,25 - 29,"Jurong West- Total",9830
2015,Males,25 - 29,"Kallang- Total",2980
2015,Males,25 - 29,"Mandai- Total",70
2015,Males,25 - 29,"Marine Parade- Total",1240
2015,Males,25 - 29,"Newton- Total",120
2015,Males,25 - 29,"Novena- Total",1230
2015,Males,25 - 29,"Orchard- Total",30
2015,Males,25 - 29,"Outram- Total",560
2015,Males,25 - 29,"Pasir Ris- Total",4610
2015,Males,25 - 29,"Punggol- Total",2690
2015,Males,25 - 29,"Queenstown- Total",2840
2015,Males,25 - 29,"River Valley- Total",220
2015,Males,25 - 29,"Rochor- Total",450
2015,Males,25 - 29,"Sembawang- Total",2520
2015,Males,25 - 29,"Sengkang- Total",6460
2015,Males,25 - 29,"Serangoon- Total",4560
2015,Males,25 - 29,"Singapore River- Total",30
2015,Males,25 - 29,"Southern Islands- Total",30
2015,Males,25 - 29,"Sungei Kadut- Total",30
2015,Males,25 - 29,"Tampines- Total",10300
2015,Males,25 - 29,"Tanglin- Total",380
2015,Males,25 - 29,"Toa Payoh- Total",3640
2015,Males,25 - 29,"Western Water Catchment- Total",30
2015,Males,25 - 29,"Woodlands- Total",9000
2015,Males,25 - 29,"Yishun- Total",8350
2015,Males,30 - 34,"Total",137850
2015,Males,30 - 34,"Ang Mo Kio- Total",5800
2015,Males,30 - 34,"Bedok- Total",9200
2015,Males,30 - 34,"Bishan- Total",2690
2015,Males,30 - 34,"Bukit Batok- Total",4640
2015,Males,30 - 34,"Bukit Merah- Total",5210
2015,Males,30 - 34,"Bukit Panjang- Total",5280
2015,Males,30 - 34,"Bukit Timah- Total",1680
2015,Males,30 - 34,"Changi- Total",70
2015,Males,30 - 34,"Choa Chu Kang- Total",5530
2015,Males,30 - 34,"Clementi- Total",3180
2015,Males,30 - 34,"Downtown Core- Total",160
2015,Males,30 - 34,"Geylang- Total",3940
2015,Males,30 - 34,"Hougang- Total",7240
2015,Males,30 - 34,"Jurong East- Total",3110
2015,Males,30 - 34,"Jurong West- Total",10670
2015,Males,30 - 34,"Kallang- Total",3370
2015,Males,30 - 34,"Mandai- Total",70
2015,Males,30 - 34,"Marine Parade- Total",1270
2015,Males,30 - 34,"Museum- Total",20
2015,Males,30 - 34,"Newton- Total",150
2015,Males,30 - 34,"Novena- Total",1350
2015,Males,30 - 34,"Orchard- Total",30
2015,Males,30 - 34,"Outram- Total",780
2015,Males,30 - 34,"Pasir Ris- Total",3870
2015,Males,30 - 34,"Punggol- Total",7130
2015,Males,30 - 34,"Queenstown- Total",3360
2015,Males,30 - 34,"River Valley- Total",250
2015,Males,30 - 34,"Rochor- Total",520
2015,Males,30 - 34,"Sembawang- Total",2930
2015,Males,30 - 34,"Sengkang- Total",9710
2015,Males,30 - 34,"Serangoon- Total",3620
2015,Males,30 - 34,"Singapore River- Total",110
2015,Males,30 - 34,"Southern Islands- Total",20
2015,Males,30 - 34,"Sungei Kadut- Total",30
2015,Males,30 - 34,"Tampines- Total",9090
2015,Males,30 - 34,"Tanglin- Total",450
2015,Males,30 - 34,"Toa Payoh- Total",3890
2015,Males,30 - 34,"Western Water Catchment- Total",20
2015,Males,30 - 34,"Woodlands- Total",9060
2015,Males,30 - 34,"Yishun- Total",8350
2015,Males,35 - 39,"Total",143800
2015,Males,35 - 39,"Ang Mo Kio- Total",6180
2015,Males,35 - 39,"Bedok- Total",9750
2015,Males,35 - 39,"Bishan- Total",2810
2015,Males,35 - 39,"Bukit Batok- Total",4710
2015,Males,35 - 39,"Bukit Merah- Total",6080
2015,Males,35 - 39,"Bukit Panjang- Total",4820
2015,Males,35 - 39,"Bukit Timah- Total",2170
2015,Males,35 - 39,"Changi- Total",120
2015,Males,35 - 39,"Choa Chu Kang- Total",5670
