year,level_1,level_2,level_3,value
2015,Total,5 - 9,"Queenstown- Total",4510
2015,Total,5 - 9,"River Valley- Total",520
2015,Total,5 - 9,"Rochor- Total",570
2015,Total,5 - 9,"Seletar- Total",20
2015,Total,5 - 9,"Sembawang- Total",5400
2015,Total,5 - 9,"Sengkang- Total",15180
2015,Total,5 - 9,"Serangoon- Total",5080
2015,Total,5 - 9,"Singapore River- Total",170
2015,Total,5 - 9,"Southern Islands- Total",90
2015,Total,5 - 9,"Sungei Kadut- Total",30
2015,Total,5 - 9,"Tampines- Total",12260
2015,Total,5 - 9,"Tanglin- Total",1290
2015,Total,5 - 9,"Toa Payoh- Total",5650
2015,Total,5 - 9,"Western Water Catchment- Total",50
2015,Total,5 - 9,"Woodlands- Total",14430
2015,Total,5 - 9,"Yishun- Total",9950
2015,Total,10 - 14,"Total",214390
2015,Total,10 - 14,"Ang Mo Kio- Total",8290
2015,Total,10 - 14,"Bedok- Total",14750
2015,Total,10 - 14,"Bishan- Total",4710
2015,Total,10 - 14,"Bukit Batok- Total",7970
2015,Total,10 - 14,"Bukit Merah- Total",6640
2015,Total,10 - 14,"Bukit Panjang- Total",8460
2015,Total,10 - 14,"Bukit Timah- Total",4810
2015,Total,10 - 14,"Changi- Total",220
2015,Total,10 - 14,"Choa Chu Kang- Total",11380
2015,Total,10 - 14,"Clementi- Total",4480
2015,Total,10 - 14,"Downtown Core- Total",100
2015,Total,10 - 14,"Geylang- Total",5420
2015,Total,10 - 14,"Hougang- Total",11670
2015,Total,10 - 14,"Jurong East- Total",4550
2015,Total,10 - 14,"Jurong West- Total",16700
2015,Total,10 - 14,"Kallang- Total",4480
2015,Total,10 - 14,"Mandai- Total",150
2015,Total,10 - 14,"Marine Parade- Total",2690
2015,Total,10 - 14,"Museum- Total",10
2015,Total,10 - 14,"Newton- Total",330
2015,Total,10 - 14,"Novena- Total",2510
2015,Total,10 - 14,"Orchard- Total",40
2015,Total,10 - 14,"Outram- Total",710
2015,Total,10 - 14,"Pasir Ris- Total",9020
2015,Total,10 - 14,"Punggol- Total",6190
2015,Total,10 - 14,"Queenstown- Total",4360
2015,Total,10 - 14,"River Valley- Total",520
2015,Total,10 - 14,"Rochor- Total",580
2015,Total,10 - 14,"Seletar- Total",20
2015,Total,10 - 14,"Sembawang- Total",5370
2015,Total,10 - 14,"Sengkang- Total",12630
2015,Total,10 - 14,"Serangoon- Total",6210
2015,Total,10 - 14,"Singapore River- Total",120
2015,Total,10 - 14,"Southern Islands- Total",80
2015,Total,10 - 14,"Sungei Kadut- Total",40
2015,Total,10 - 14,"Tampines- Total",13820
2015,Total,10 - 14,"Tanglin- Total",1110
2015,Total,10 - 14,"Toa Payoh- Total",5740
2015,Total,10 - 14,"Western Water Catchment- Total",50
2015,Total,10 - 14,"Woodlands- Total",17000
2015,Total,10 - 14,"Yishun- Total",10440
2015,Total,15 - 19,"Total",242900
2015,Total,15 - 19,"Ang Mo Kio- Total",9320
2015,Total,15 - 19,"Bedok- Total",16930
2015,Total,15 - 19,"Bishan- Total",5520
2015,Total,15 - 19,"Bukit Batok- Total",9240
2015,Total,15 - 19,"Bukit Merah- Total",6860
2015,Total,15 - 19,"Bukit Panjang- Total",9420
2015,Total,15 - 19,"Bukit Timah- Total",4820
2015,Total,15 - 19,"Changi- Total",150
2015,Total,15 - 19,"Choa Chu Kang- Total",14820
2015,Total,15 - 19,"Clementi- Total",4690
2015,Total,15 - 19,"Downtown Core- Total",120
2015,Total,15 - 19,"Geylang- Total",6320
2015,Total,15 - 19,"Hougang- Total",14390
2015,Total,15 - 19,"Jurong East- Total",4970
2015,Total,15 - 19,"Jurong West- Total",18020
2015,Total,15 - 19,"Kallang- Total",4750
2015,Total,15 - 19,"Mandai- Total",170
2015,Total,15 - 19,"Marine Parade- Total",2600
2015,Total,15 - 19,"Museum- Total",10
2015,Total,15 - 19,"Newton- Total",330
2015,Total,15 - 19,"Novena- Total",2540
2015,Total,15 - 19,"Orchard- Total",30
2015,Total,15 - 19,"Outram- Total",750
2015,Total,15 - 19,"Pasir Ris- Total",12330
2015,Total,15 - 19,"Punggol- Total",4450
2015,Total,15 - 19,"Queenstown- Total",4750
2015,Total,15 - 19,"River Valley- Total",410
2015,Total,15 - 19,"Rochor- Total",610
2015,Total,15 - 19,"Seletar- Total",20
2015,Total,15 - 19,"Sembawang- Total",4820
2015,Total,15 - 19,"Sengkang- Total",11840
2015,Total,15 - 19,"Serangoon- Total",7730
2015,Total,15 - 19,"Singapore River- Total",90
2015,Total,15 - 19,"Southern Islands- Total",90
2015,Total,15 - 19,"Sungei Kadut- Total",40
2015,Total,15 - 19,"Tampines- Total",18180
2015,Total,15 - 19,"Tanglin- Total",1010
2015,Total,15 - 19,"Toa Payoh- Total",6470
2015,Total,15 - 19,"Western Water Catchment- Total",40
2015,Total,15 - 19,"Woodlands- Total",21030
2015,Total,15 - 19,"Yishun- Total",12190
2015,Total,20 - 24,"Total",264130
2015,Total,20 - 24,"Ang Mo Kio- Total",10310
2015,Total,20 - 24,"Bedok- Total",19450
2015,Total,20 - 24,"Bishan- Total",6860
2015,Total,20 - 24,"Bukit Batok- Total",10070
2015,Total,20 - 24,"Bukit Merah- Total",7700
2015,Total,20 - 24,"Bukit Panjang- Total",10400
2015,Total,20 - 24,"Bukit Timah- Total",4980
2015,Total,20 - 24,"Changi- Total",130
2015,Total,20 - 24,"Choa Chu Kang- Total",15230
2015,Total,20 - 24,"Clementi- Total",4850
2015,Total,20 - 24,"Downtown Core- Total",140
2015,Total,20 - 24,"Geylang- Total",7540
2015,Total,20 - 24,"Hougang- Total",16830
2015,Total,20 - 24,"Jurong East- Total",5760
2015,Total,20 - 24,"Jurong West- Total",19070
2015,Total,20 - 24,"Kallang- Total",5120
2015,Total,20 - 24,"Mandai- Total",150
2015,Total,20 - 24,"Marine Parade- Total",2690
2015,Total,20 - 24,"Museum- Total",20
2015,Total,20 - 24,"Newton- Total",340
2015,Total,20 - 24,"Novena- Total",2570
2015,Total,20 - 24,"Orchard- Total",30
2015,Total,20 - 24,"Outram- Total",830
2015,Total,20 - 24,"Pasir Ris- Total",13410
2015,Total,20 - 24,"Punggol- Total",3940
2015,Total,20 - 24,"Queenstown- Total",5290
2015,Total,20 - 24,"River Valley- Total",470
2015,Total,20 - 24,"Rochor- Total",690
2015,Total,20 - 24,"Seletar- Total",10
2015,Total,20 - 24,"Sembawang- Total",4490
2015,Total,20 - 24,"Sengkang- Total",10870
2015,Total,20 - 24,"Serangoon- Total",9160
2015,Total,20 - 24,"Singapore River- Total",80
2015,Total,20 - 24,"Southern Islands- Total",80
2015,Total,20 - 24,"Sungei Kadut- Total",40
2015,Total,20 - 24,"Tampines- Total",21380
2015,Total,20 - 24,"Tanglin- Total",960
2015,Total,20 - 24,"Toa Payoh- Total",7330
2015,Total,20 - 24,"Western Water Catchment- Total",130
2015,Total,20 - 24,"Woodlands- Total",20050
2015,Total,20 - 24,"Yishun- Total",14650
2015,Total,25 - 29,"Total",271030
2015,Total,25 - 29,"Ang Mo Kio- Total",11170
2015,Total,25 - 29,"Bedok- Total",19860
2015,Total,25 - 29,"Bishan- Total",6460
2015,Total,25 - 29,"Bukit Batok- Total",10460
2015,Total,25 - 29,"Bukit Merah- Total",9340
2015,Total,25 - 29,"Bukit Panjang- Total",10980
2015,Total,25 - 29,"Bukit Timah- Total",4310
2015,Total,25 - 29,"Changi- Total",100
2015,Total,25 - 29,"Choa Chu Kang- Total",11940
